web-scraper-start-url,ScapperProdcutId,ScapperProdcutId-href,Cat,ProductName,ProductStock,ProductBasePrice,ProductSalePrice,ProductShortDescription
"https://www.wootware.co.za/sale","DeepCool R-CC560-BKGAA4-G-1 CC560 Tempered Glass Steel Black ATX Mid-Tower Desktop Chassis","https://www.wootware.co.za/deepcool-cc560-tempered-glass-steel-black-atx-mid-tower-desktop-chassis.html","Chassis","DeepCool R-CC560-BKGAA4-G-1 CC560 Tempered Glass Steel Black ATX Mid-Tower Desktop Chassis","In Stock with Supplier ","1199.00","899.00","- Mixed Mesh Front-Panel Mid-Tower Chassis

- Clear Tempered Glass Side Panel Window

- Supports ATX, Micro-ATX, Mini-ITX Motherboards

- 1x Front-Panel USB 5Gb/s Type-A Port

- 1x Front-Panel USB 2.0 Type-A Port

- 1x 3.5mm Combination Audio Jack

- 2x 2.5"" HDD/SSD Drive Bays

- 1x 2.5/3.5"" HDD Drive Bay (Removable)

- 7x PCI Expansion Slots

- Magnetic Top-Mount Dust Filter

- Supports Up to 6x 120mm Chassis Fans

- 4x Pre-Installed 120mm Blue LED Fans

- Radiator Support Up to 360mm

- CPU Cooler Clearance: 163mm

- GPU Cooler Clearance: 370mm

- PSU Length Clearance: 170mm

- Colour: Black

- 2 Year Warranty"
"https://www.wootware.co.za/sale","Phanteks PH-EC360ATG_DBK02 ECLIPSE G360A Black Tempered Glass Steel E-ATX Mid Tower Desktop Chassis","https://www.wootware.co.za/phanteks-ph-ec360atg-dbk02-eclipse-g360a-black-tempered-glass-steel-e-atx-mid-tower-desktop-chassis.html","Chassis","Phanteks PH-EC360ATG_DBK02 ECLIPSE G360A Black Tempered Glass Steel E-ATX Mid Tower Desktop Chassis","In Stock with Supplier ","2449.00","1929.00","- High Airflow Design

- Steel Chassis

- Tempered Glass Side Panels

- Mid Tower Form Factor

- Colour: Black

- Supports E-ATX, ATX, Micro-ATX, Mini-ITX Motherboards

- 2x 3.5"", 3x 2.5"" Drive Bays Supported

- 2x USB 3.0 Type-A

- D-RGB Mode Button, D-RGB Colour Button

- Power Button

- Audio Combo Jack

- Radiator Maximum Supported Length: Up To 360mm (Front, Top)

- CPU Cooler Clearance: 162mm

- Maximum GPU Length: 400mm

- Ultra-fine Performance Mesh

- Integrated & Expandable D-RGB Lighting

- 3x 120mm D-RGB PWM Fans Included

- 2x 3.5"" HDD Brackets Included

- 2x 2.5"" SSD Brackets Included

- 5 Year Warranty"
"https://www.wootware.co.za/sale","Dell S3422DWG 34"" UWQHD (3440x1440) 144Hz 2ms VA AMD FreeSync Premium Pro VESA Display HDR 400 1800R Curved Gaming Desktop Monitor","https://www.wootware.co.za/dell-s3422dwg-34-uwqhd-3440x1440-144hz-2ms-va-amd-freesync-premium-pro-vesa-display-hdr-400-1800r-curved-gaming-desktop-monitor.html","Monitors","Dell S3422DWG 34"" UWQHD (3440x1440) 144Hz 2ms VA AMD FreeSync Premium Pro VESA Display HDR 400 1800R Curved Gaming Desktop Monitor","In Stock with Supplier ","10999.00","8999.00","- 34"" VA (Vertical Alignment) Panel

- 2x HDMI, 1x DisplayPort v1.4

- UWQHD(3440x1440) Resolution

- 144Hz Refresh Rate

- 3000:1 Contrast Ratio

- Brightness: 400cd/m²

- VESA DisplayHDR 400

- AMD FreeSync Premium Pro

- 178°/178° Viewing Angles

- 90% DCI-P3, 99% sRGB Colour Coverage

- Tilt & Height Adjustment

- 2ms (GtG) Response Time

- 3 Year Warranty"
"https://www.wootware.co.za/sale","Corsair CW-9060060-WW iCUE H150i RGB ELITE 360mm Liquid CPU Cooler","https://www.wootware.co.za/corsair-cw-9060060-ww-icue-h150i-rgb-elite-360mm-liquid-cpu-cooler.html","CPU Coolers","Corsair CW-9060060-WW iCUE H150i RGB ELITE 360mm Liquid CPU Cooler","In Stock with Supplier ","3699.00","3199.00","- iCUE H150i RGB ELITE Edition

- Triple 120mm PWM Fans

- 360mm Radiator

- Colour: Black

- Aluminium Radiator

- Refined Pump Head Design And 16 RGB LEDs

- Powerful CORSAIR iCUE Software

- Copper Cold Plate With Pre-Applied Thermal Compound

- Includes 3x Corsair AF Elite Series PWM Fans

- Intel Socket Support: 1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066

- AMD Socket Support: AMD AM5, AM4, sTRX4, sTR4

- 5 Year Warranty"
"https://www.wootware.co.za/sale","Super Flower SF-1200F14MP Leadex 1200W 80 Plus Platinum Certified Fully Modular Black Desktop Power Supply","https://www.wootware.co.za/super-flower-sf-1200f14mp-leadex-1200w-80-plus-platinum-certified-fully-modular-black-desktop-power-supply.html","PSUs","Super Flower SF-1200F14MP Leadex 1200W 80 Plus Platinum Certified Fully Modular Black Desktop Power Supply","In Stock with Supplier ","4599.00","3649.00","- 1200W

- 100% Fully Modular cabling designed for easy cable management

- 80 PLUS Platinum Certified , 91.07%, 92.44% and 90.47% Efficiency At 20%, 50% and 100% Rated Load respectively.

- To view the 80+ Certification information, please see: SF-1200F14MP

- Supports All Intel/AMD Multi-Core CPUs & ATX/BTX Compatible Motherboards

- Support NVIDIA SLI & ATI CrossFireX High Performance Graphics Cards

- Unleaded Green Materials with RoHS/WEEE Compliance

- Haswell Extreme Low Power States Supported

- 5 Year Manufacturer Warranty

- From the award winning Leadex Platinum series

- South African 3-prong power-cable included

- Editor's Choice Award (9.6/10 Rating) From TechPowerUp: Read the full review here"
"https://www.wootware.co.za/sale","DeepCool R-CC560-WHGAA4-G-1 CC560-WH Tempered Glass Steel White ATX Mid-Tower Desktop Chassis","https://www.wootware.co.za/deepcool-cc560-wh-tempered-glass-steel-white-atx-mid-tower-desktop-chassis.html","Chassis","DeepCool R-CC560-WHGAA4-G-1 CC560-WH Tempered Glass Steel White ATX Mid-Tower Desktop Chassis","In Stock with Supplier ","1199.00","899.00","- Mixed Mesh Front-Panel Mid-Tower Chassis

- Clear Tempered Glass Side Panel Window

- Supports ATX, Micro-ATX, Mini-ITX Motherboards

- 1x Front-Panel USB 5Gb/s Type-A Port

- 1x Front-Panel USB 2.0 Type-A Port

- 1x 3.5mm Combination Audio Jack

- 2x 2.5"" HDD/SSD Drive Bays

- 1x 2.5/3.5"" HDD Drive Bay (Removable)

- 7x PCI Expansion Slots

- Magnetic Top-Mount Dust Filter

- Supports Up to 6x 120mm Chassis Fans

- 4x Pre-Installed 120mm Blue LED Fans

- Radiator Support Up to 360mm

- CPU Cooler Clearance: 163mm

- GPU Cooler Clearance: 370mm

- PSU Length Clearance: 170mm

- Colour: White

- 2 Year Warranty"
"https://www.wootware.co.za/sale","Mushkin MKNSSDTS256GB-D8 Tempest 256GB PCIe 3.0 x4 NVMe M.2 2280 Solid State Drive","https://www.wootware.co.za/mushkin-mknssdts256gb-d8-tempest-256gb-pcie-3-0-x4-nvme-m-2-2280-solid-state-drive.html","SSDs","Mushkin MKNSSDTS256GB-D8 Tempest 256GB PCIe 3.0 x4 NVMe M.2 2280 Solid State Drive","In Stock with Supplier ","799.00","459.00","- 256GB Storage Capacity

- M.2 (2280) Form Factor

- PCIe NVMe Interface

- Sequential Read Speed: Up to 3,100 MB/s

- Sequential Write Speed: Up to 1,400 MB/s

- Mushkin Enhanced Data Protection Suite

- MTBF: Up to 1.5M Hours

- 3 Year Limited Warranty Or 125TBW"
"https://www.wootware.co.za/sale","Gigabyte GA-Z790-AORUS-ELITE DDR4 Z790 AORUS ELITE DDR4 Intel Z790 Raptor Lake LGA 1700 ATX DDR4 Desktop Motherboard","https://www.wootware.co.za/gigabyte-ga-z790-aorus-elite-ddr4-z790-aorus-elite-ddr4-intel-z790-raptor-lake-lga-1700-atx-ddr4-desktop-motherboard.html","Motherboards","Gigabyte GA-Z790-AORUS-ELITE DDR4 Z790 AORUS ELITE DDR4 Intel Z790 Raptor Lake LGA 1700 ATX DDR4 Desktop Motherboard","In Stock with Supplier ","6499.00","4999.00","- ATX Form Factor

- Intel Z790 Chipset

- Intel Socket LGA 1700

- 4x DDR4 DIMM Slots, Supports up to 128GB

- Supports up to DDR4-5333MHz(OC)

- 1x PCIe 5.0 x16 Slot, 2x PCIe 4.0 x16 Slot (Support x4 Mode)

- 4x M.2 Slots & 4x SATA 6Gb/s Ports

- 1x USB 3.2 Gen 2x2 Type-C

- 2x USB 3.2 Gen 2 Type-A Ports, 3x USB 3.2 Gen 1 Type-A ports

- 4x USB 2.0 Type-A, 1x HDMI 2.0 Port

- 1x Realtek 2.5Gb Ethernet

- Realtek Audio CODEC

- Twin 16+1+2 Phases Digital VRM

- 60A Power Stage With DrMOS

- 6-Layer 2X Copper PCB

- Advanced Thermal Design

- Integrated IO Shield

- Smart Fan 6

- 3 Year Warranty"
"https://www.wootware.co.za/sale","ID-Cooling TF-12025-PRO BLACK 120mm PWM Black Case Fan","https://www.wootware.co.za/id-cooling-tf-12025-pro-black-120mm-pwm-black-case-fan.html","Case Fans","ID-Cooling TF-12025-PRO BLACK 120mm PWM Black Case Fan","Stock Coming Soon","149.00","99.00","- 120mm Case Fan

- Colour: Black

- Airflow: 82.5 CFM Max

- Air Pressure: 2.55 mmH2O Max

- Rotational Speed: 700 - 1800 RPM

- 35.2 dB(A) Max Noise Level

- 4-Pin PWM Connector

- High Airflow

- Rubber Dampers

- Optimised Air Pressure

- Multi-Application

- 3 Year Warranty"
"https://www.wootware.co.za/sale","Sabrent SB-RKTG-1TB Rocket 4 Plus G 1TB M.2 2280 PCIe 4.0 x4 NVMe SSD","https://www.wootware.co.za/sabrent-sb-rktg-1tb-rocket-4-plus-g-1tb-m-2-2280-pcie-4-0-x4-nvme-ssd.html","SSDs","Sabrent SB-RKTG-1TB Rocket 4 Plus G 1TB M.2 2280 PCIe 4.0 x4 NVMe SSD","In Stock with Supplier ","3449.00","2999.00","- 1TB NVMe Solid State Drive

- M.2 2280 Form Factor

- Micron 3D TLC NAND Technology

- Phison PCIe Gen 4 Controller

- PCIe Gen4 x4 Interface

- Sequential Read Speed: Up to 7.3GB/s

- Sequential Write Speed: Up to 6.0GB/s

- Microsoft Windows Direct Storage Ready

- Designed for Gaming

- Sabrent O₂ GO Firmware

- 5 Year Warranty or 700TBW (Free and Fast Online Registration Required)"
"https://www.wootware.co.za/sale","ID-Cooling ZoomFlow 360 XT Snow 360mm ARGB White Liquid CPU Cooler","https://www.wootware.co.za/id-cooling-zoomflow-360-xt-snow-360mm-argb-white-liquid-cpu-cooler.html","CPU Coolers","ID-Cooling ZoomFlow 360 XT Snow 360mm ARGB White Liquid CPU Cooler","Stock Coming Soon","1999.00","1599.00","- ZoomFlow 360 XT Snow Series

- Triple 120mm ARGB White PWM Fans

- 360mm Radiator

- Copper Cold Plate

- Aluminium Radiator

- High Density Radiator Fin Design

- Immersive Pump Head ARGB Lighting

- Premium Sleeved Tubing

- Water Flow Rate: 116L/Hour

- ARGB Controller Included

- Intel: LGA 2066, 2011, 1700, 1200, 1151, 1150, 1155, 1156

- AMD: AM5, AM4

- 3 Year Warranty"
"https://www.wootware.co.za/sale","Intel Arc A750 21P02J00BA 8GB GDDR6 256-bit PCIe 4.0 Desktop Graphics Card","https://www.wootware.co.za/intel-arc-a750-21p02j00ba-8gb-gddr6-256-bit-pcie-4-0-desktop-graphics-card.html","GPUs","Intel Arc A750 21P02J00BA 8GB GDDR6 256-bit PCIe 4.0 Desktop Graphics Card","In Stock with Supplier ","7799.00","5999.00","- Boost Clock: 2050MHz

- Xe-Cores: 28

- Render Slices: 7

- Ray Tracing Units: 28

- Intel Xe Matrix Extensions (Intel XMX) Engines: 448

- Xe Vector Engines: 448

- TSMC N6 Lithography

- Memory: 8GB GDDR6

- Memory Clock: 16Gbps

- Intel Alchemist Architecture

- Real-Time Ray Tracing Technology

- Intel Xe Super Sampling (XeSS) AI Rendering Technology

- 3x DisplayPort 2.0, 1x HDMI 2.1

- Multi-Display Capability: 4 Displays

- Maximum Digital Resolution: 7680x4320 @ 60Hz

- Intel Xe HPG Microarchitecture

- Intel Deep Link Hyper Compute

- Intel Deep Link Hyper Encode

- Intel Deep Link Stream Assist

- AV1 Encode/Decode

- H.264 Hardware Encode/Decode

- H.265 (HEVC) Hardware Encode/Decode

- 3 Year Warranty



Strong Performance Vs Price - See Full Tom's Hardware Review Here"
"https://www.wootware.co.za/sale","Phanteks PH-NELEDKT_CMBO_WT01 NEON Digital RGB Strip LED Kit","https://www.wootware.co.za/phanteks-ph-neledkt-cmbo-wt01-neon-digital-rgb-strip-led-kit.html","Other","Phanteks PH-NELEDKT_CMBO_WT01 NEON Digital RGB Strip LED Kit","In Stock with Supplier ","429.00","299.00","- ARGB Lighting Strip Kit

- Smooth Lighting Effects

- Flexible Mounting Options

- Length: 400mm

- Interface: 3-Pin Phanteks RGB Connector

- Input Voltage: 5V

- Power Consumption: 4.2W (Per strip)

- MTBF: 20,000 Hours

- Full Kit Includes Adapters & Chassis Mounts

- Colour: White

- Supports ASUS AURA, MSI Mystic Light, ASRock PolyChrome Sync

- Supports Razer Chroma, Gigabyte RGB Fusion 2.0

- 2 Year Warranty"
